"Tool","URL","Category","Description","Cost","Business Model","Maintained By","Maintenance","Markup Language","Content Model","Authoring Workflow Model","Visual Editor","Content Reuse","Dark Mode","Output Formats","Publishing & Delivery","CI/CD","Incremental Builds","Custom Domain","Multi-repo Support","Versioning","Private/Gated Docs","i18n","Search","Plugin Ecosystem","Theming Control","Auth / Security Methods","Security Notes","AI Authoring","AI End-User Q&A","AI Pricing & Models","AI Tooling Origin","Local Models Supported"
"Antora","https://antora.org/","Framework, Static Site Generator","Multi-repository static site generator purpose-built for AsciiDoc. Designed for large, versioned, component-based documentation sets common in enterprise open-source projects. Outputs static HTML; no hosted service — you own the build and deploy pipeline.","Free (Open-source)","Open-source / Donations","Community","Yes","AsciiDoc","Static","Local files + CLI","No","Yes","No","HTML","","Yes","No","Yes","Yes","Yes","No","No","Pluggable","Partial","Yes","DIY / None built-in","Static site generator — no built-in auth. Gate via web server (nginx basic auth, reverse proxy, Cloudflare Access, etc.).","No","External / DIY integration only","","None","No"
"Archbee","https://www.archbee.com/","Platform, Knowledge Management","Developer-focused documentation platform with a Notion-like block editor, API reference support, and git sync. Supports both internal and external docs from a single workspace. Distinguishes itself with a clean writing experience and strong support for code-heavy technical content.","Freemium","VC-backed SaaS","Company","Yes","Markdown, HTML","Dynamic","Git-synced, In-browser editor","Yes","Yes","Yes","HTML","","Yes","No","Yes","Yes","Yes","Yes","No","Built-in (Server-side)","Partial","Partial","RBAC, SSO (SAML 2.0)","SAML SSO via Okta, Azure AD, or Google (all plans). Team-level RBAC on all plans. SOC 2 Type II, GDPR certified. No native 2FA mentioned — relies on IdP.","Yes","Built-in AI chat/search","Paid add-on · Azure OpenAI","First-party (built-in)","No"
"Astro Starlight","https://starlight.astro.build/","Framework, Static Site Generator","Documentation theme and framework built on top of Astro. Delivers fast, accessible doc sites with built-in full-text search, i18n, versioning, and a clean default design. Rapidly gaining adoption across the JS ecosystem.","Free (Open-source)","Open-source / Donations","Community","Yes","Markdown, MDX","Hybrid","Local files + CLI","No","Yes","Yes","HTML","","Yes","Yes","Yes","No","Yes","No","Yes","Built-in (Client-side)","Partial","Yes","DIY / None built-in","Static site generator — no built-in auth. Gate at CDN or host layer (Cloudflare Access, Vercel password, etc.).","No","Algolia Ask AI, llms.txt provided","","None","No"
"Bengal","https://lbliii.github.io/bengal/","Framework, Static Site Generator, API Docs","Python-native static site generator for technical documentation, blogs, and knowledge bases. Builds on free-threaded Python 3.14+ for parallel rendering with incremental, cache-compressed rebuilds. Ships with 60+ MyST-style directives and native Jupyter notebook support.","Free (Open-source)","Open-source / Donations","Community","Yes","Markdown","Static","Local files + CLI","No","Yes","Yes","HTML, JSON","","Yes","Yes","Yes","Yes","Yes","No","Yes","Built-in (Client-side)","Yes","Yes","","Unknown — insufficient public documentation on auth/gating.","No","llms.txt provided","","None","No"
"CodingFleet","https://codingfleet.com/","AI","AI-powered coding assistant platform offering tools for code generation, explanation, enhancement, conversion, and unit test creation across 60+ programming languages. Includes sandboxed code execution. Aimed at developers looking to automate repetitive coding and documentation tasks.","Freemium","VC-backed SaaS","Company","Yes","","Dynamic","AI-assisted, In-browser editor","Yes","No","No","","","No","No","No","No","No","No","No","None","No","No","","Unknown — insufficient public documentation on auth/gating.","Yes","Built-in AI chat/search","Free tier, Included in plan · Claude, Gemini, OpenAI, Other","Third-party only","No"
"Docsify","https://docsify.js.org/","Framework","Lightweight, no-build-step documentation site generator. Docsify renders Markdown files directly in the browser at runtime — no build step needed. Popular for small project docs, internal wikis, and prototyping. Limited SEO and search compared to built SSGs.","Free (Open-source)","Open-source / Donations","Community","No","Markdown","Dynamic","Local files + CLI","No","No","No","HTML","","No","No","Yes","No","No","No","No","Built-in (Client-side)","Partial","Partial","DIY / None built-in","Client-side renderer serving static files — no built-in auth. Must be gated at the web server or CDN layer.","No","External / DIY integration only","","None","No"
"docStatic","https://docstatic.com","Platform, Framework, Static Site Generator, API Docs, Knowledge Management, AI","FOSS docs-as-code CMS with Git-backed storage (local or cloud). Combines static site generation with a visual editing layer via Tina CMS integration. Supports incremental builds and MDX authoring.","Free (Open-source)","Open-source / Donations","Community","Yes","MDX","Static","Git-synced, Local files + CLI","Partial","Yes","Yes","HTML","Deploy automation, Edge/CDN-friendly","Yes","Yes","Yes","No","Yes","No","No","Built-in (Client-side)","Partial","Yes","","Unknown — insufficient public documentation on auth/gating.","Partial","MCP server","BYOK · Self-hosted","Hybrid (first-party + 3rd-party)","Yes"
"Docusaurus","https://docusaurus.io/","Framework, Static Site Generator","Open-source documentation framework built and maintained by Meta. Uses React and MDX for component-driven docs. Features built-in versioning, i18n, and search. Widely adopted across the JavaScript and open-source ecosystem.","Free (Open-source)","Open-source / Donations","Company","Yes","Markdown, MDX","Static","Local files + CLI","No","Yes","Yes","HTML","Deploy automation, Edge/CDN-friendly, Preview environments","Yes","No","Yes","No","Yes","No","Yes","Built-in (Client-side)","Yes","Yes","DIY / None built-in","Static site generator — no built-in auth. Gate via hosting provider (Netlify password, Vercel, Cloudflare Access) or reverse proxy.","No","Algolia Ask AI, llms.txt provided","","None","No"
"Doxygen","https://www.doxygen.nl/","Framework, Static Site Generator","The long-standing de facto standard for generating documentation from annotated source code. Supports C++, C, Java, Python, and more. Outputs HTML, PDF, and other formats directly from in-code comments and docstrings.","Free (Open-source)","Open-source / Donations","Community","Partial","HTML, Markdown","Static","Annotated source code, Local files + CLI","No","No","No","HTML, PDF","","Yes","No","Yes","No","No","No","No","None","Partial","No","DIY / None built-in","Generates static HTML — no built-in auth. Gate at web server layer (Apache/nginx basic auth, etc.).","No","External / DIY integration only","","None","No"
"Fern","http://buildwithfern.com","Platform, Framework, Static Site Generator, API Docs","API documentation and SDK generation platform that reads OpenAPI specs to auto-generate reference docs and client SDKs in multiple languages. Offers hosted developer portals and Git-based collaboration workflows.","Freemium, Free (Open-source)","Open-core","Company","Yes","Markdown, MDX","Hybrid","AI-assisted, API Spec-driven, Git-synced, In-browser editor, Local files + CLI","No","Yes","Yes","HTML","Deploy automation, Multi-environment, Preview environments","Yes","No","Yes","Yes","Yes","Yes","No","Built-in (Client-side)","Partial","Partial","OIDC / OAuth, RBAC, SSO (SAML 2.0)","SSO via SAML 2.0 or OIDC (Enterprise plan only — contact sales). RBAC for role-based content sections. API key injection for personalized code examples. No native 2FA/password gating.","No","llms.txt provided","Included in plan","First-party (built-in)","No"
